127.0.0.1 - - [08/Sep/2021:11:14:45 +0700] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/ HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/css/style_v2_optimized.css HTTP/1.1" 200 17635
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:45 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/images/borderTopLeft.png HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/images/borderTopCenter.png HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/images/borderTopRight.png HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/images/borderMiddleLeft.png HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/images/borderBottomCenter.png HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/images/borderBottomLeft.png HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:45 +0700] "GET /TrainingGESO/pages/images/borderBottomRight.png HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:46 +0700] "GET /TrainingGESO/pages/images/borderMiddleRight.png HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "POST /TrainingGESO/ HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "POST /TrainingGESO/LoginSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "GET /TrainingGESO/Center/mainpage.jsp HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "GET /TrainingGESO/pages/Center/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:54 +0700] "GET /TrainingGESO/pages/Center/home.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [08/Sep/2021:11:14:53 +0700] "GET /TrainingGESO/pages/Center/leftMenu.jsp HTTP/1.1" 200 35152
